Nazwisko aktualne,Liczba
PSTROWSKI,82
PULNAR,82
PUŁAPA,82
PUSHKAROV,82
PUSTY,82
PYT,82
PYZALSKI,82
RAMBIERT,82
RASMUSSEN,82
RASZYK,82
RAVLIUK,82
REJMANOWSKI,82
REKIEĆ,82
RETEL,82
REWKOWSKI,82
ROMAK,82
ROZNOWSKI,82
RZEPPA,82
SAPKOWSKI,82
SAWARYN,82
SEKH,82
SEREDENKO,82
SETLIK,82
SETNIK,82
SĘPIOŁ,82
SIBIELAK,82
SIERPNIAK,82
SIERUGA,82
SIMA,82
SIUDEJA,82
SKOŁUDA,82
SKÓRECKI,82
SKÓROWSKI,82
SKWARLIŃSKI,82
SMOLICH,82
SOKYRKO,82
SOLOKHA,82
SOPOĆKO,82
SOSWA,82
SPICH,82
SPRANCEL,82
STABIŃSKI,82
STALMIERSKI,82
STANIURSKI,82
STENDERA,82
STEPCZUK,82
STODÓŁKIEWICZ,82
STRONK,82
SUWICZAK,82
SWARBUŁA,82
SYZDÓŁ,82
SZACIK,82
SZAUER,82
SZCZUDŁOWSKI,82
SZEBESTA,82
SZELACHOWSKI,82
SZEWERNIAK,82
SZKOLNIK,82
SZLICHTA,82
SZORDYKOWSKI,82
SZOSKA,82
SZUĆKO,82
SZUMCZYK,82
SZUMLIŃSKI,82
SZWEBLIK,82
ŚCIBURA,82
ŚLAŻYŃSKI,82
ŚLIFIRCZYK,82
ŚLOTAŁA,82
ŚRÓDECKI,82
ŚWITACZ,82
TAŁAJCZYK,82
TOBIŚ,82
TOMANIAK,82
TORIANYK,82
TRAŁA,82
TRZASKACZ,82
TRZEBNIAK,82
TYBLEWSKI,82
TYKHONCHUK,82
UNISZEWSKI,82
VARENYTSIA,82
VERNYHORA,82
VOICHUK,82
VOIEVODA,82
VOROPAI,82
WALTROWSKI,82
WAŁĘCKI,82
WARZYC,82
WAWRZYŃCZUK,82
WCZASEK,82
WEDZIUK,82
WENCKA,82
WERSOCKI,82
WEYCHAN,82
WĘCŁAW,82
WIDOK,82
WODZICKI,82
WOJS,82
WOŁUJEWICZ,82
WROMBEL,82
WUDNIAK,82
YAN,82
YASKO,82
YUREVICH,82
ZALWERT,82
ZASTAVNYI,82
ZDRZAŁKA,82
ZDUNIK,82
ZIEWIECKI,82
ZINENKO,82
ZINKEL,82
ZOZULA,82
ZUBCZYŃSKI,82
ŻELAWSKI,82
ŻELAZNOWSKI,82
ŻEROMIŃSKI,82
ŻUBERTOWSKI,82
ABRATAŃSKI,81
ALWIN,81
ANCZYKOWSKI,81
ANIMUCKI,81
ARKHYPOV,81
ASTROUSKI,81
AVCI,81
BALANT,81
BALBUS,81
BANDUŁA,81
BARABAN,81
BEKH,81
BELCIK,81
BERISHVILI,81
BETKOWSKI,81
BĘTLEWSKI,81
BIAŁOGŁOWICZ,81
BIAŁUSKI,81
BIBROWSKI,81
BIEGANEK,81
BIGA,81
BIJOCH,81
BIŁDA,81
BISS,81
BOHATYROV,81
BOKHAN,81
BONDARAU,81
BREITENBACH,81
BRZUZAN,81
BUBIŃSKI,81
BUŁATEWICZ,81
BURCHACZ,81
BUŻEK,81
ÇAKMAK,81
CEPLIN,81
CEPUCH,81
CHAJDUK,81
CHAŁADAJ,81
CHATŁAS,81
CHOROSZKO,81
CIACHOWSKI,81
CIARCZYŃSKI,81
CIECIOROWSKI,81
CIELEK,81
CIUCIAS,81
CONSTANTIN,81
CYMAŃSKI,81
CZOBOT,81
CZUBAKOWSKI,81
CZYKIETA,81
ĆWIL,81
DAWISKIBA,81
DĄDALSKI,81
DEMBICZAK,81
DĘDYS,81
DOBERSZTYN,81
DOBUCKI,81
DOJLIDA,81
DOMORACKI,81
DOVHOPOLYI,81
DRENDA,81
DRUCH,81
DRUĆ,81
DUBIEC,81
DYTMAN,81
DYZMA,81
DZIERZKOWSKI,81
DZIEWIERZ,81
DZIEŻYK,81
DZMITRUK,81
EBEL,81
FALKO,81
FELCZEREK,81
FENDER,81
FERRA,81
FIAŁKA,81
FIEDZIUKIEWICZ,81
FORMEJSTER,81
FRANT,81
GABARKIEWICZ,81
GAJDZICKI,81
GAJOSZ,81
GAJOWIEC,81
GAŁCZYK,81
GANIEV,81
GARBOCZ,81
GARDYJAS,81
GIESA,81
GNIAŹ,81
GNIZA,81
GOLOWSKI,81
GOREK,81
GORGADZE,81
GRABALA,81
GRACKA,81
GRĄDZ,81
GRECZYŁO,81
GRUBIZNA,81
GRZEGRZUŁKA,81
GRZESISTA,81
GUDERSKI,81
GURCZYŃSKI,81
HABIERA,81
HAJDACKI,81
HAJSKI,81
HAŁUN,81
HANCHAR,81
HARCZUK,81
HILLAR,81
HODER,81
HOLOVANOV,81
HOQUE,81
HRUSHETSKYI,81
HRYNCHAK,81
HRYSIUK,81
HUMAJ,81
HURNIK,81
IGNACIK,81
INDEKA,81
IWANCZEWSKI,81
JABŁONIEC,81
JAGLEWICZ,81
JAKOWICZ,81
JAROSZCZYK,81
JASZKOWIC,81
JAŚTAK,81
JĄDRZYK,81
JEFIMOW,81
JEŻYŃSKI,81
JONIO,81
JOPA,81
JÓŹKO,81
JURGIEWICZ,81
KAŁACZYŃSKI,81
KAMPCZYK,81
KAREWICZ,81
KARPICKI,81
KASZLEWICZ,81
KAŚLEWICZ,81
KHOMIAKOV,81
KHOMITSKYI,81
KIELMAS,81
KIERDELEWICZ,81
KLACZA,81
KLAMER,81
KLUBIŃSKI,81
KLUSIEWICZ,81
KŁAPEĆ,81
KŁÓDKA,81
KOCIAŁKOWSKI,81
KOŁOSZYC,81
KOŁTAN,81
KOMARZEWSKI,81
KOMORZYCKI,81
KONDRATSKYI,81
KONRADOWSKI,81
KOSZELAK,81
KOTLIK,81
KOZARYN,81
KOZIUK,81
KRAJNIEWSKI,81
KRASOWIAK,81
KRUCZKIEWICZ,81
KUBASA,81
KUCZOK,81
KUFERA,81
KULAWSKI,81
KULBIDA,81
KURNAT,81
KUROWIAK,81
KUTSAK,81
KUZEMKO,81
LAMENTA,81
LAUK,81
LAWRENZ,81
LAZOR,81
LEBEDEV,81
LEMIECHA,81
LEWONIEWSKI,81
LIETZAU,81
LISICA,81
LISNYI,81
LITWIC,81
LOPKO,81
ŁABARZEWSKI,81
ŁĘGOWIAK,81
ŁUCAK,81
ŁUKIANIUK,81
MACHLAŃSKI,81
MADEKSZA,81
MAGIELSKI,81
MAGOLAN,81
MALITOWSKI,81
MANEK,81
MAŃCZUK,81
MAŃKUT,81
MARKOVETS,81
MARUSA,81
MATAŚKA,81
MATELAK,81
MATEUSZUK,81
MAZURO,81
MEDVEDENKO,81
MICHCIK,81
MICUDA,81
MIELCARZEWICZ,81
MIEMCZYK,81
MIŚKOWSKI,81
MŁODY,81
MORZE,81
MROZKOWIAK,81
MYRNYI,81
MYSYK,81
NAROJEK,81
NAUKA,81
NEŚCIOR,81
NIKALAYEU,81
NIKOLIN,81
OCZAK,81
OKSENTIUK,81
OLECHNOWSKI,81
OPIELKA,81
OTLIK,81
PACZWA,81
PAGÓREK,81
PALIASHCHUK,81
PALT,81
PASZCZYŃSKI,81
PEDCHENKO,81
PERKO,81
PERSHYN,81
PIECIUL,81
PIERGIES,81
PIETRASIŃSKI,81
PIETROSZEK,81
PIKH,81
PISZEWSKI,81
PLIUTA,81
PLUTO,81
PŁÓCINIAK,81
POCAŁUJKO,81
POHNKE,81
POKOJOWCZYK,81
POKRYWIECKI,81
POLETYŁO,81
POŁUCH,81
POPADYNETS,81
POPIAK,81
POPIUK,81
PRACZUK,81
PRAGNĄCY,81
PROCZKA,81
PRZYLEPA,81
PUNDA,81
PUSZCZYKOWSKI,81
PYŹ,81
QIU,81
RANDZIO,81
REKUĆ,81
REMISIEWICZ,81
RENN,81
REZULAK,81
ROHOVSKYI,81
ROZMYŚLAK,81
ROZPĘDZIK,81
RYBCHUK,81
RYCIUK,81
RZODECZKO,81
SADYKOV,81
SAPUTRA,81
SARKISIAN,81
SCHRŐDER,81
SEBESTA,81
SEKRET,81
SEMBA,81
SENENKO,81
SHYSH,81
SIERGIEJUK,81
SIERHEJ,81
SINITSYN,81
SIŃCZAK,81
SIUŚTA,81
SKROBARCZYK,81
SKRZECZEK,81
SKURATOWICZ,81
SLIPETS,81
SOLIMAN,81
SOMPOLIŃSKI,81
SONTAG,81
SOZANSKYI,81
SOZONIUK,81
STAJSZCZYK,81
STASIEROWSKI,81
STEPUCH,81
STIELER,81
STRUMNIK,81
STRZEDUŁA,81
STRZELAK,81
SUJDAK,81
SUREL,81
SVANIDZE,81
SYGNECKI,81
SZAWIEL,81
SZMACIŃSKI,81
SZMATLOCH,81
SZMELC,81
SZMOLKE,81
SZPERNA,81
SZWANKE,81
ŚCIGACZ,81
ŚPIEWLA,81
ŚWIEREK,81
TEWS,81
THAKUR,81
TORZYŃSKI,81
TROKOWSKI,81
TRÓJNIAK,81
TUBISZ,81
TUSTANOWSKI,81
TUSZ,81
TUZIAK,81
UHEREK,81
ULICHNOWSKI,81
URACZ,81
VERBA,81
VYNOKUROV,81
VYSOCHYN,81
WALSH,81
WEŁYCZKO,81
WIERZCHANOWSKI,81
WÓDECKI,81
WYBORNY,81
YASKEVICH,81
YUAN,81
ZACHARKIEWICZ,81
ZACHWIEJ,81
ZAPRZAŁKA,81
ZHURAKIVSKYI,81
ZIENOWICZ,81
ZIEŃKO,81
ZIĘBACZ,81
ZUCHMAŃSKI,81
ZYMON,81
ŻAGIEL,81
ŻĄDŁOWSKI,81
ŻMURKO,81
ŻURECKI,81
ADASIK,80
AKHMEDOVI,80
AKHMETOV,80
ALLEN,80
ANTONOW,80
BADTKE,80
BAGHDASARYAN,80
BAJUK,80
BANDOŁA,80
BARTOSEWICZ,80
BELICZYŃSKI,80
BENDIK,80
BIAŁOSTOCKI,80
BIŁAN,80
BK,80
BŁAŻYKOWSKI,80
BŁOCIŃSKI,80
BOJACZUK,80
BOLCZYK,80
BORLIK,80
BORÓWKO,80
BRANNY,80
BRAŃCZYK,80
BRONNY,80
BUDZAŁEK,80
BUDZIOCH,80
BUKOWICZ,80
BURCHAK,80
BUTSKO,80
CELEJOWSKI,80
CENDAL,80
CHADAŁA,80
CIACIEK,80
CUKIERDA,80
CZERNIC,80
CZUCHNOWSKI,80
CZYLKOWSKI,80
CZYŻYKIEWICZ,80
CZYŻYŃSKI,80
DARASZKIEWICZ,80
DARDAS,80
DEJAS,80
DEJNIAK,80
DELIJEWSKI,80
DEMUTH,80
DEREWICZ,80
DOBIASZ,80
DOROKHOV,80
DRAWS,80
DRESSLER,80
DRONOV,80
DROZDYK,80
DUCZYMIŃSKI,80
DULNIAK,80
DUMANA,80
DUMICZ,80
DVALISHVILI,80
DYBISZ,80
DYLKA,80
DYSZKANT,80
DZIWISZEK,80
FILLA,80
FINGAS,80
FORSTER,80
FOSZCZYŃSKI,80
FUSIK,80
FUZ,80
GAJDEROWICZ,80
GALARY,80
GAŁOSZ,80
GAMBUŚ,80
GAWARZYŃSKI,80
GAZIŃSKI,80
GENIUSZ,80
GERESZ,80
GESING,80
GIEDZIUN,80
GIEŁZAK,80
GOLD,80
GÓRNI,80
GRĘZIAK,80
GROCHOL,80
GROTKIEWICZ,80
GRUDNOWSKI,80
GRZOMBA,80
GVASALIA,80
HADRYSIAK,80
HAJDECKI,80
HAKAŁO,80
HALASTRA,80
HAŃCZUK,80
HARCIAREK,80
HECHT,80
HEŁDAK,80
HENRYKOWSKI,80
HERDUŚ,80
HOLUK,80
HOŁDYS,80
HRECZYŃSKI,80
HURSKI,80
ILCEWICZ,80
IREMADZE,80
IWANISZYN,80
JAKSZUK,80
JAKUBOWIAK,80
JALAGONIA,80
JEMIOŁEK,80
JEWULSKI,80
JO,80
JÓWKO,80
JÓZEF,80
JURCZYGA,80
KABA,80
KACHUROVSKYI,80
KAJDANA,80
KAŁACH,80
KAŁECKI,80
KAMIENICZNY,80
KAMISIŃSKI,80
KARAPUDA,80
KARNAUKHOV,80
KASYNA,80
KAZUŁA,80
KĄCIAK,80
KĘPNIAK,80
KLETKIEWICZ,80
KLIMACKI,80
KLOFCZYŃSKI,80
KLUPIEĆ,80
KŁAP,80
KŁEK,80
KŁĘBOKOWSKI,80
KNITER,80
KNYSZYŃSKI,80
KOLISNYCHENKO,80
KOLOSA,80
KONIECZKOWSKI,80
KONTOWSKI,80
KOPASZEWSKI,80
KOROTUSZ,80
KOSARZYCKI,80
KOSHELIUK,80
KOZENKO,80
KRAŚNIAK,80
KREJ,80
KREJPCIO,80
KRUHLIK,80
KRUPSKYI,80
KRUSZKO,80
KŚCIUCZYK,80
KUDOSZ,80
KUJANEK,80
KULING,80
KULUPA,80
KUPCHAK,80
KURCHENKO,80
KUREC,80
KURPAN,80
LEVI,80
LEVYTSKYY,80
LIMINOWICZ,80
LINCZOWSKI,80
LINNYK,80
LUBENETS,80
LUKOSZ,80
ŁANOWY,80
ŁEPPEK,80
ŁUKOWIEC,80
ŁUŃSKI,80
ŁYSKA,80
ŁYŻEŃ,80
MAKAĆ,80
MAKAROWICZ,80
MALEJKO,80
MALENTA,80
MALINIAK,80
MARANOWSKI,80
MARCHELEK,80
MARKWAT,80
MARTSYNIUK,80
MARTYNETS,80
MARYSZCZAK,80
MAŚLEWSKI,80
MATERNY,80
MATROS,80
MAZGAJSKI,80
MĘDOŃ,80
MGLEJ,80
MICHORZEWSKI,80
MIĆKO,80
MIKHALCHUK,80
MINCHENKO,80
MIRCZAK,80
MIRONAU,80
MOCZYDLAK,80
MORAWCZYŃSKI,80
MOŚKO,80
MOTULEWICZ,80
MÓJTA,80
MURACZEWSKI,80
MUSZELIK,80
MYŚLEWSKI,80
NAREJKO,80
OCHLAK,80
ODOR,80
OLENIAK,80
OLENYCH,80
OLKUSZ,80
OPASKA,80
ORDYNIEC,80
OSTROWIECKI,80
OSZCZEPALIŃSKI,80
OVCHINNIKOV,80
PACZOCHA,80
PARZOCH,80
PASTEWKA,80
PECA,80
PEIKERT,80
PERDUTA,80
PETRUNIAK,80
PIECHULEK,80
PIECZUL,80
PILUŚ,80
PISAREWICZ,80
PITSYK,80
PLOMBON,80
POTEMPSKI,80
POŻARSKI,80
PÓŁTORZYCKI,80
PRĄDZINSKI,80
PROSZAK,80
PROŚCIAK,80
PRYMA,80
PSZCZOŁOWSKI,80
PUZ,80
PYLYPETS,80
RADLICA,80
RADZEVICH,80
RADZIWOŃSKI,80
RAROK,80
RATHNAU,80
REDZIŃSKI,80
RIETZ,80
RIGGA,80
ROPKA,80
ROZENKIEWICZ,80
ROZMARYNOWICZ,80
RUSIŁOWSKI,80
RYBANIEC,80
RYBCHAK,80
RYDZOWSKI,80
RYŚNIK,80
SADLIŃSKI,80
SARNIKOWSKI,80
SAWCZENKO,80
SHKARUPA,80
SHOT,80
SIEBYŁA,80
SIEKLIŃSKI,80
SIODA,80
SIONKO,80
SKAŹNIK,80
SKOCZKOWSKI,80
SKOCZYPIEC,80
SŁAWETA,80
SŁYŻ,80
SMARŻEWSKI,80
SOBIESZKODA,80
SOTEL,80
SOWIECKI,80
SÓJKOWSKI,80
STABIK,80
STARYBRAT,80
STEPKA,80
STRZODKA,80
SYSIK,80
SZABUNIA,80
SZAJRYCH,80
SZALCZYŃSKI,80
SZARA,80
SZERWIŃSKI,80
SZOSTKOWSKI,80
SZPONIK,80
SZPRUTA,80
SZYMACZEK,80
ŚMIDOWICZ,80
ŚRÓDA,80
TĄDEL,80
TOVKACH,80
TSIARESHKA,80
TYSZEWSKI,80
UŻAROWSKI,80
VIOLA,80
WANATOWICZ,80
WERONIECKI,80
WESSEL,80
WICIEJOWSKI,80
WIDEROWSKI,80
WIEJOWSKI,80
WIENCZEK,80
WIERZCHOŚ,80
WIERZCHOWIAK,80
WINCZA,80
WITAŁA,80
WOGA,80
WOJCZYSZYN,80
WOJTUŚCISZYN,80
WOTLIŃSKI,80
WÓJSIK,80
WUJAK,80
WULKIEWICZ,80
WYGRALAK,80
WYSMOLIŃSKI,80
YANISHEVSKYI,80
YAVTUSHENKO,80
ZABRANIAK,80
ZACIERA,80
ZAPRZALSKI,80
ZAROTYŃSKI,80
ZASUCHA,80
ZATOKA,80
ZDECHLIK,80
ZGÓRKA,80
ZIARNEK,80
ZYDOROWICZ,80
ZYSNARSKI,80
ŻUCHNIEWICZ,80
ŻYWINA,80
AKHMADOV,79
ALEKSEIENKO,79
AMIT,79
BADAN,79
BARTKIV,79
BARŻYKOWSKI,79
BĄTKIEWICZ,79
BEI,79
BEJENKA,79
BELKIEWICZ,79
BENEDYKCIUK,79
BEREST,79
BERISHA,79
BEWICZ,79
BIERZA,79
BILKO,79
BŁANIK,79
BŁAZUCKI,79
BŁĘDEK,79
BOCZKO,79
BOHOMOL,79
BOLEWICZ,79
BOLT,79
BRAJA,79
BREJNA,79
BUBIEC,79
BUKOWCZYK,79
BULWAN,79
BURNIAK,79
BURSZTYN,79
ÇETİN,79
CHMURAK,79
CHOCHLEWICZ,79
CHOJOWSKI,79
CHOŁKO,79
CHORCHOS,79
CHRABĄSZCZEWSKI,79
CHUĆ,79
CIELEC,79
CIELESZ,79
CIELOSZCZYK,79
CIPORA,79
CIWONIUK,79
CIŹLA,79
CNOTALSKI,79
COŞKUN,79
CRUZ,79
CZORT,79
CZUBAN,79
CZWARTOS,79
CZYRNIA,79
DALKIEWICZ,79
DELCZYK,79
DEMBCZYŃSKI,79
DIAS,79
DOBREŃKO,79
DOLIGALSKI,79
DOROSŁAWSKI,79
DRABA,79
DRABIUK,79
DRACZ,79
DRECHNY,79
DRELICHARZ,79
DRONIAK,79
DUDZICKI,79
DUNAJKO,79
DYMCZAK,79
DYNGOSZ,79
DYWAŃSKI,79
DZIURNY,79
DZWONIARKIEWICZ,79
ELIŃSKI,79
ERDANOWSKI,79
FALTYŃSKI,79
FANG,79
FARKAS,79
FASICZKA,79
FELA,79
FERNANDES,79
FERTYK,79
FIECEK,79
FLORCZYŃSKI,79
FRONCKIEWICZ,79
FUDYMA,79
GAJERSKI,79
GAJZNER,79
GALBIERCZYK,79
GARBATOWSKI,79
GIELMUDA,79
GIEŁDON,79
GŁUSZCZYŃSKI,79
GORZKI,79
GRDUSZAK,79
GRECZKA,79
GROSZKIEWICZ,79
GRYCHNIK,79
GRZĄDKO,79
GWAZDACZ,79
HABROWSKI,79
HAMOWSKI,79
HARASYMCHUK,79
HARTUNG,79
HAUS,79
HĄCEL,79
HEIKO,79
HERASIMOVICH,79
HLUBEK,79
HOVSEPYAN,79
HUJDUS,79
IMIOŁO,79
JABŁCZYŃSKI,79
JANUSZAK,79
JARASZEK,79
JASTAK,79
JASZYK,79
KAMASZEWSKI,79
KANTAROWSKI,79
KAPINUS,79
KAPŁAŃSKI,79
KARBOWNICZYN,79
KARZEŁEK,79
KAVETSKYI,79
KAZAN,79
KAZARIAN,79
KĄPIELSKI,79
KICLER,79
KIZIELEWICZ,79
KLASSA,79
KLEPACZKO,79
KŁANIECKI,79
KŁYZA,79
KNEĆ,79
KNIEJSKI,79
KOBYLAREK,79
KOCHETOV,79
KOŁPACZEWSKI,79
KONKIEL,79
KORZIŃSKI,79
KOSZALSKI,79
KOSZUCKI,79
KOTIK,79
KOZOŁUP,79
KRAKIEWICZ,79
KRAT,79
KRAVTSIV,79
KRĘTOWSKI,79
KRZYSZTAŁOWICZ,79
KUDELIA,79
KUDŁAWIEC,79
KUKUSHKIN,79
KUPRIIENKO,79
KURLANC,79
KURPET,79
KUSIAKIEWICZ,79
KUŹBICKI,79
KWIECISZEWSKI,79
LEBEDYNSKYI,79
LENGIEWICZ,79
LULKOWSKI,79
LYSIAK,79
MACIOŃCZYK,79
MACIUPA,79
MAĆKAŁA,79
MAJCHERKIEWICZ,79
MAJKO,79
MAKAŁA,79
MAKIEL,79
MALAJKA,79
MARCOLA,79
MARENDOWSKI,79
MARKIEFKA,79
MARTYNOVYCH,79
MASKIEWICZ,79
MAŚLANIEC,79
MATANOWSKI,79
MATSKEVYCH,79
MATYSZOK,79
MAZIAR,79
MĄDRASZEK,79
MENDELA,79
MĘCIŃSKI,79
MĘDYKOWSKI,79
MICHOTA,79
MIDER,79
MIERCZAK,79
MOCZULAK,79
MOGILEWSKI,79
MOLIN,79
MOŹDZIOCH,79
MROCHEN,79
MRUG,79
MUJTA,79
MUNDZIK,79
MURASZEWSKI,79
MURKOWSKI,79
MUŚLEWSKI,79
MYSONA,79
NALIŃSKI,79
NAUMETS,79
NAZAREK,79
NICKI,79
NIEBOREK,79
OLKHOVYK,79
OPAŁKO,79
OPITZ,79
OSES,79
PADURSKI,79
PANDYRA,79
PAPOŃ,79
PATERA,79
PAVLYUK,79
PAWLICZUK,79
PAWŁASEK,79
PĄSIEK,79
PESZKA,79
PETERSON,79
PIECHEL,79
PIESAK,79
PIETRUKANIEC,79
PIĘDZIA,79
PIJANKOWSKI,79
PIWCZYK,79
PIWOWOŃSKI,79
PŁESZKA,79
PŁUŻEK,79
POBOŻNIAK,79
POLTORATSKYI,79
PONCYLIUSZ,79
POPCZYŃSKI,79
POREMSKI,79
POTRAWA,79
POZNIAKOV,79
PROSKURIN,79
PRUDNIKOV,79
PRUSZCZYK,79
PRZEŚNIAK,79
PRZYSŁO,79
PUPIN,79
PUZAN,79
PYSKA,79
RACIŃSKI,79
RAJCZEWSKI,79
RESHETNYK,79
RĘDASZKA,79
RODOWSKI,79
ROI,79
RUKS,79
RYBOL,79
RYGOŁ,79
RZYMAN,79
SAŁAPAT,79
SAMBORA,79
SAVIUK,79
SEMKÓW,79
SERWACKI,79
SEWIOŁO,79
SHYMKIV,79
SILICKI,79
SIÓDMAK,79
SIURNICKI,79
SKALIMOWSKI,79
SKORA,79
SKORB,79
SKRYNNYK,79
SKURATKO,79
SMAROŃ,79
SMOLII,79
SMUŁA,79
SOBORAK,79
SOBOTKIEWICZ,79
SOKOŁOW,79
SOKOWICZ,79
SOLTAN,79
SOSNECKI,79
SPEK,79
STATNIK,79
STOCHLA,79
STOJEWSKI,79
STROJEC,79
SUKHOV,79
SUMOWSKI,79
SYMELA,79
SZCZERBUK,79
SZLEPER,79
SZMYCIŃSKI,79
SZRAMSKI,79
SZUCA,79
SZURAWSKI,79
SZWEDOWICZ,79
SZYKULSKI,79
SZYPKOWSKI,79
SZYSIAK,79
ŚCIEPURA,79
ŚMIEJCZAK,79
ŚMIERZCHAŁA,79
ŚWIEJKOWSKI,79
ŚWIRGOŃ,79
TEREJKO,79
TĘSNY,79
TOMKALSKI,79
TOMŻYŃSKI,79
TRỊNH,79
TROWSKI,79
TRUDZIŃSKI,79
TRZEŚNIAK,79
UGNIEWSKI,79
USIŃSKI,79
VASYLECHKO,79
VLADIMIROV,79
WASZCZYKOWSKI,79
WASZELEWSKI,79
WATSON,79
WAWIERNIA,79
WĄWOŹNY,79
WICEK,79
WICKOWSKI,79
WIEDRO,79
WIERZBIC,79
WIŚNIOWIECKI,79
WODEJKO,79
WOLSZLEGER,79
WORONIEC,79
WÓDCZAK,79
WYLECIAŁ,79
ZABŁOŃSKI,79
ZHURAULIOU,79
ZHYLKO,79
ZWIERZAŃSKI,79
ZYBOWSKI,79
ZYDEK,79
ZYSIAK,79
ABSALON,78
AKULOV,78
ALEKSANDROVYCH,78
AMANOV,78
ANCZYK,78
ANDRZEJKIEWICZ,78
ATAMANENKO,78
BABAYAN,78
BABIJCZUK,78
BANCARZEWSKI,78
BARANIOK,78
BARSUL,78
BARUL,78
BARYCZA,78
BARYSENKA,78
BARYSIUK,78
BATOGOWSKI,78
BAZANOWSKI,78
BECHCIŃSKI,78
BEDRYJ,78
BELZYT,78
BENEDYKCIŃSKI,78
BEZRUCHKO,78
BIELONKO,78
BILOKUR,78
BINERT,78
BISIALSKI,78
BIZIEWSKI,78
BLASKI,78
BOLIBRZUCH,78
BRACHOWSKI,78
BREJTA,78
BROJ,78
BRUCHAJZER,78
BRZANK,78
BUJNIEWICZ,78
BUKIN,78
BULATOV,78
BYSTRYK,78
CABANEK,78
CELLMER,78
CHABIK,78
CHABINKA,78
CHAŁUBIEC,78
CHEPURKO,78
CHOSZCZEWSKI,78
CHWAŁKOWSKI,78
CIEMNOCZOŁOWSKI,78
CIOĆ,78
CIUNEL,78
COK,78
CUDNOWSKI,78
CZACHARA,78
CZELADKA,78
CZYRKA,78
DAMBIEC,78
DAŃKÓW,78
ÐÀO,78
DELIŚ,78
DMITROCA,78
DRAMSKI,78
DRECHSLER,78
DROBNIKOWSKI,78
DUFAJ,78
DYBEŁ,78
DYLLA,78
DZIEWIERSKI,78
DZIUBAS,78
DZOBA,78
EJZAK,78
ELENDT,78
FALENDER,78
FIFER,78
FILCEK,78
FIŁOŃCZUK,78
FIRLEJCZYK,78
FLUDA,78
FONS,78
FOREMNIK,78
FRAJER,78
GALBAS,78
GALISZEWSKI,78
GARBIAK,78
GAWARSKI,78
GĘBARA,78
GIEŁŻECKI,78
GIERMAKOWSKI,78
GŁASZCZ,78
GNIEWASZEWSKI,78
GNYSZKA,78
GODERSKI,78
GORALCZYK,78
GORZULA,78
GOTKIEWICZ,78
GOWIK,78
GRANOS,78
GRĄZ,78
GRENCEL,78
GRUCHEL,78
GRZEGOCKI,78
GRZESIKOWSKI,78
GRZESZUK,78
GRZĘDOWSKI,78
HAJDUŁA,78
HALECKI,78
HARAŹNY,78
HAWLICZEK,78
HAWRYSZ,78
HAZUBSKI,78
HERHEL,78
HOŃCA,78
HOZA,78
HURYNOVICH,78
HYC,78
IVLIEV,78
JAJKOWSKI,78
JAKŚ,78
JAMROZEK,78
JANELT,78
JAŹWA,78
JENDRYCH,78
JURDZIAK,78
JURETKO,78
KAJDANIAK,78
KALL,78
KAMIN,78
KAMOWSKI,78
KAMUSIŃSKI,78
KANDRATSENKA,78
KAPYŚ,78
KARAŹNIEWICZ,78
KARPYN,78
KASTSIUKEVICH,78
KHUDIAKOV,78
KIĆ,78
KIEJKO,78
KILIMNIK,78
KIŚLUK,78
KLUJEWSKI,78
KŁOSSOWSKI,78
KOBAN,78
KOKIEĆ,78
KOŁPACZYŃSKI,78
KOMUŃSKI,78
KOMUR,78
KONIORCZYK,78
KOPIŚ,78
KORPACZ,78
KORZEP,78
KOSHMAN,78
KOSYRA,78
KOZACZEWSKI,78
KRAJNA,78
KRAKA,78
KRAŻEWSKI,78
KRĘCIWILK,78
KROGUL,78
KRYSTMAN,78
KRYŚCIO,78
KRYVYTSKYI,78
KRZEPTOŃ,78
KUBOSZ,78
KUKIEL,78
KULESHOV,78
KUNASZYK,78
KURPYTA,78
KWIASOWSKI,78
KWIECIAK,78
LECHOSZEST,78
LEONHARD,78
LUBIECKI,78
ŁABISZEWSKI,78
ŁĄGIEWCZYK,78
ŁOMŻYŃSKI,78
ŁOZAK,78
ŁYSZCZYŃSKI,78
MACEDOŃSKI,78
MACHNA,78
MAGIEREK,78
MAJSNEROWSKI,78
MALITA,78
MAŁOWIECKI,78
MAŁYGA,78
MAMAJEK,78
MANIOS,78
MAŃKUS,78
MARKWART,78
MAZUREWICZ,78
MEKA,78
MERTENS,78
METKOWSKI,78
MĘZIŃSKI,78
MIARCZYŃSKI,78
MIAZGOWICZ,78
MICHAŁCZYK,78
MICKA,78
MIEŃKOWSKI,78
MINDUR,78
MISTRZYK,78
MODROWSKI,78
MROZEK GLISZCZYŃSKI,78
MULARCZUK,78
MURZYDŁO,78
MUSIELIŃSKI,78
MUSTAFAIEV,78
MYCH,78
MYŚLISZ,78
NIEMYŃSKI,78
OBYRTACZ,78
OKRUSZKO,78
OMAR,78
ONASZKIEWICZ,78
ONUFRIIENKO,78
OREN,78
ORLEWICZ,78
OSINSKI,78
OSYPOWICZ,78
OŹDZIŃSKI,78
PADJASEK,78
PANICZKO,78
PASHYNSKYI,78
PASZKIEL,78
PATAŁUCH,78
PĄPKA,78
